factor_date,factor_name,hold_start,hold_end,top_return,bottom_return,long_short_return,cum_long_short_return
2019-01-31,composite_growth,2019-02-04,2019-02-28,0.04220756442862168,0.0433601791077748,-0.0011526146791531189,-0.0011526146791531744
2019-02-28,composite_growth,2019-03-04,2019-03-29,-0.012484073877546407,-0.01838847697107047,0.005904403093524064,0.0047449829126935406
2019-03-31,composite_growth,2019-04-02,2019-04-30,0.012296770697172624,0.025451701425859334,-0.01315493072868671,-0.008472367737518471
2019-04-30,composite_growth,2019-05-02,2019-05-31,-0.07948849879485277,-0.06697864073302508,-0.012509858061827694,-0.020876237681502152
2019-05-31,composite_growth,2019-06-04,2019-06-28,0.055151947357683896,0.06219330746110496,-0.007041360103421067,-0.027770600677803126
2019-06-30,composite_growth,2019-07-02,2019-07-31,-0.004165215714674536,-0.0016572660482950656,-0.00250794966637947,-0.030208903075477522
2019-07-31,composite_growth,2019-08-02,2019-08-30,-0.03742371422580941,-0.027237081340854702,-0.010186632884954708,-0.040087808954945126
2019-08-31,composite_growth,2019-09-03,2019-09-30,0.052110321004218994,0.045709525610446056,0.006400795393772939,-0.033943607424077316
2019-09-30,composite_growth,2019-10-02,2019-10-31,0.012929328845151161,0.030775339328286827,-0.017846010483135666,-0.05118385993328756
2019-10-31,composite_growth,2019-11-04,2019-11-29,0.008701852387933279,0.021546374393541227,-0.012844522005607949,-0.06337094972365043
2019-11-30,composite_growth,2019-12-03,2019-12-31,0.0491514351906707,0.044866421204155356,0.004285013986515346,-0.059357481143039625
2019-12-31,composite_growth,2020-01-03,2020-01-31,-0.013256488701828871,-0.025016167974973632,0.01175967927314476,-0.04829582681059885
2020-01-31,composite_growth,2020-02-04,2020-02-28,-0.08339071031084819,-0.08645296827984425,0.0030622579689960627,-0.04538146312212277
2020-02-29,composite_growth,2020-03-03,2020-03-31,-0.24988743968076219,-0.22398507797023834,-0.025902361710523847,-0.07010833775990455
2020-03-31,composite_growth,2020-04-02,2020-04-30,0.29763050774897043,0.25216080290904125,0.04546970483992918,-0.027826438344736193
2020-04-30,composite_growth,2020-05-04,2020-05-29,0.09927572934918408,0.12185650556649998,-0.022580776217315898,-0.04977887198486464
2020-05-31,composite_growth,2020-06-02,2020-06-30,0.08364217336451478,0.03241798759950267,0.05122418576501211,-0.0011045684055779326
2020-06-30,composite_growth,2020-07-02,2020-07-31,0.056213464309521975,0.04504332020535544,0.011170144104166536,0.010053237510325275
2020-07-31,composite_growth,2020-08-04,2020-08-31,0.04385433806407074,0.02513792258351425,0.01871641548055649,0.02895781356104976
