Date,ETF,Position,Weight,Method,Turnover
2008-04-28,SPY,Short,-0.05,composite_momentum,1.2000000000000002
2008-04-28,GSG,Long,0.25,composite_momentum,1.2000000000000002
2008-04-28,FXE,Long,0.25,composite_momentum,1.2000000000000002
2008-04-28,TIP,Long,0.25,composite_momentum,1.2000000000000002
2008-04-28,LQD,Short,-0.05,composite_momentum,1.2000000000000002
2008-04-28,USO,Long,0.25,composite_momentum,1.2000000000000002
2008-04-28,IWM,Short,-0.05,composite_momentum,1.2000000000000002
2008-04-28,QQQ,Short,-0.05,composite_momentum,1.2000000000000002
2008-04-29,SPY,Short,-0.05,composite_momentum,0.1
2008-04-29,EFA,Short,-0.05,composite_momentum,0.1
2008-04-29,GSG,Long,0.25,composite_momentum,0.1
2008-04-29,FXE,Long,0.25,composite_momentum,0.1
2008-04-29,TIP,Long,0.25,composite_momentum,0.1
2008-04-29,USO,Long,0.25,composite_momentum,0.1
2008-04-29,IWM,Short,-0.05,composite_momentum,0.1
2008-04-29,QQQ,Short,-0.05,composite_momentum,0.1
2008-04-30,SPY,Short,-0.05,composite_momentum,0.0
2008-04-30,EFA,Short,-0.05,composite_momentum,0.0
2008-04-30,GSG,Long,0.25,composite_momentum,0.0
2008-04-30,FXE,Long,0.25,composite_momentum,0.0
2008-04-30,TIP,Long,0.25,composite_momentum,0.0
2008-04-30,USO,Long,0.25,composite_momentum,0.0
2008-04-30,IWM,Short,-0.05,composite_momentum,0.0
2008-04-30,QQQ,Short,-0.05,composite_momentum,0.0
2008-05-28,SPY,Short,-0.05,composite_momentum,0.7
2008-05-28,AGG,Short,-0.05,composite_momentum,0.7
2008-05-28,GSG,Long,0.25,composite_momentum,0.7
2008-05-28,FXE,Long,0.25,composite_momentum,0.7
2008-05-28,LQD,Short,-0.05,composite_momentum,0.7
2008-05-28,USO,Long,0.25,composite_momentum,0.7
2008-05-28,UNG,Long,0.25,composite_momentum,0.7
2008-05-28,IWM,Short,-0.05,composite_momentum,0.7
2008-05-29,SPY,Short,-0.05,composite_momentum,0.0
2008-05-29,AGG,Short,-0.05,composite_momentum,0.0
2008-05-29,GSG,Long,0.25,composite_momentum,0.0
2008-05-29,FXE,Long,0.25,composite_momentum,0.0
2008-05-29,LQD,Short,-0.05,composite_momentum,0.0
2008-05-29,USO,Long,0.25,composite_momentum,0.0
2008-05-29,UNG,Long,0.25,composite_momentum,0.0
2008-05-29,IWM,Short,-0.05,composite_momentum,0.0
2008-05-30,SPY,Short,-0.05,composite_momentum,0.1
2008-05-30,GSG,Long,0.25,composite_momentum,0.1
2008-05-30,FXE,Long,0.25,composite_momentum,0.1
2008-05-30,GLD,Short,-0.05,composite_momentum,0.1
2008-05-30,LQD,Short,-0.05,composite_momentum,0.1
2008-05-30,USO,Long,0.25,composite_momentum,0.1
2008-05-30,UNG,Long,0.25,composite_momentum,0.1
2008-05-30,IWM,Short,-0.05,composite_momentum,0.1
2008-06-26,SPY,Short,-0.05,composite_momentum,0.2
2008-06-26,EFA,Short,-0.05,composite_momentum,0.2
2008-06-26,AGG,Short,-0.05,composite_momentum,0.2
2008-06-26,GSG,Long,0.25,composite_momentum,0.2
2008-06-26,FXE,Long,0.25,composite_momentum,0.2
2008-06-26,LQD,Short,-0.05,composite_momentum,0.2
2008-06-26,USO,Long,0.25,composite_momentum,0.2
2008-06-26,UNG,Long,0.25,composite_momentum,0.2
2008-06-27,SPY,Short,-0.05,composite_momentum,0.1
2008-06-27,EFA,Short,-0.05,composite_momentum,0.1
2008-06-27,VNQ,Short,-0.05,composite_momentum,0.1
2008-06-27,GSG,Long,0.25,composite_momentum,0.1
2008-06-27,FXE,Long,0.25,composite_momentum,0.1
2008-06-27,LQD,Short,-0.05,composite_momentum,0.1
2008-06-27,USO,Long,0.25,composite_momentum,0.1
2008-06-27,UNG,Long,0.25,composite_momentum,0.1
2008-06-30,SPY,Short,-0.05,composite_momentum,0.0
2008-06-30,EFA,Short,-0.05,composite_momentum,0.0
2008-06-30,VNQ,Short,-0.05,composite_momentum,0.0
2008-06-30,GSG,Long,0.25,composite_momentum,0.0
2008-06-30,FXE,Long,0.25,composite_momentum,0.0
2008-06-30,LQD,Short,-0.05,composite_momentum,0.0
2008-06-30,USO,Long,0.25,composite_momentum,0.0
2008-06-30,UNG,Long,0.25,composite_momentum,0.0
2008-07-29,SPY,Short,-0.05,composite_momentum,0.6
2008-07-29,EFA,Short,-0.05,composite_momentum,0.6
2008-07-29,GSG,Long,0.25,composite_momentum,0.6
2008-07-29,FXE,Long,0.25,composite_momentum,0.6
2008-07-29,EEM,Short,-0.05,composite_momentum,0.6
2008-07-29,GLD,Long,0.25,composite_momentum,0.6
2008-07-29,LQD,Short,-0.05,composite_momentum,0.6
2008-07-29,USO,Long,0.25,composite_momentum,0.6
2008-07-30,SPY,Short,-0.05,composite_momentum,0.0
2008-07-30,EFA,Short,-0.05,composite_momentum,0.0
2008-07-30,GSG,Long,0.25,composite_momentum,0.0
2008-07-30,FXE,Long,0.25,composite_momentum,0.0
2008-07-30,EEM,Short,-0.05,composite_momentum,0.0
2008-07-30,GLD,Long,0.25,composite_momentum,0.0
2008-07-30,LQD,Short,-0.05,composite_momentum,0.0
2008-07-30,USO,Long,0.25,composite_momentum,0.0
2008-07-31,SPY,Short,-0.05,composite_momentum,0.1
2008-07-31,EFA,Short,-0.05,composite_momentum,0.1
2008-07-31,VNQ,Short,-0.05,composite_momentum,0.1
2008-07-31,GSG,Long,0.25,composite_momentum,0.1
2008-07-31,FXE,Long,0.25,composite_momentum,0.1
2008-07-31,EEM,Short,-0.05,composite_momentum,0.1
